key,prompt,f_save
['description'],"Welcome to Blackwood, a world shrouded in darkness and terror. The land is dominated by thick, foreboding forests that encircle small, filthy villages where humans live in constant fear of the supernatural creatures that roam the world.

Technology in Blackwood is extremely low. The human settlements are primitive and lack even the most basic amenities. They rely on hunting, fishing, and farming for survival, using rudimentary tools and weapons crafted from stone and wood. There are no machines or advanced technology, and transportation is limited to horses and carts.

Magic is rare in Blackwood, and only dark spirits and vampires possess it. These creatures are feared and reviled by humans, who believe that they are cursed by the gods. The supernatural beings use their magic to manipulate and control humans, creating a constant sense of dread and danger.

The culture of Blackwood is one of survival and superstition. Humans live in tightly-knit communities, where they rely on each other for protection and support. They are deeply religious, and believe that the supernatural creatures that haunt their world are manifestations of evil. Their lives are governed by rituals and traditions that are designed to appease the gods and protect them from harm.

Overall, Blackwood is a bleak and inhospitable world, where humans struggle to survive against overwhelming odds. It is a place of darkness and fear, where the supernatural creatures that roam the land hold all the power.",results/Blackwood/000000.png
['races'],"The Pale Ones: a race of humanoid creatures with ghostly white skin and piercing red eyes. They are known for their ability to manipulate shadows and darkness, which they use to their advantage when hunting. The Pale Ones have no interest in human technology or culture, preferring to keep to themselves in the depths of the forest.",results/Blackwood/000001.png
['races'],"The Stoneborn: a race of creatures made entirely of stone. They are incredibly strong and resilient, but slow-moving and ponderous. The Stoneborn have no use for human technology, but are fascinated by human culture. They often observe humans from a distance, studying their rituals and customs.",results/Blackwood/000002.png
['races'],"The Bloodkin: a race of humanoid creatures with red, blood-like skin. They are known for their ability to shape-shift into various forms, often taking the shape of animals to hunt their prey. The Bloodkin have no interest in human technology, but are fascinated by human culture. They often infiltrate human settlements to observe their rituals and customs.",results/Blackwood/000003.png
['races'],"The Winged Ones: a race of humanoid creatures with wings. They are incredibly fast and agile, able to fly at great speeds. The Winged Ones have no use for human technology, but are fascinated by human culture. They often observe humans from a distance, studying their rituals and customs.",results/Blackwood/000004.png
['races'],"The Shadowkin: a race of humanoid creatures with shadowy skin and glowing eyes. They are known for their ability to manipulate light and darkness, which they use to their advantage when hunting. The Shadowkin have no interest in human technology or culture, preferring to keep to themselves in the depths of the forest.",results/Blackwood/000005.png
['creatures'],"The Night Howlers: a pack of large, wolf-like creatures with glowing red eyes. They hunt in the darkness and are known to attack human settlements. The races of Blackwood avoid the Night Howlers, as they are too dangerous to confront.",results/Blackwood/000006.png
['creatures'],"The Tree Crawlers: a swarm of small, spider-like creatures that live in the trees. They spin webs to catch their prey and are known to attack humans who venture too close to their territory. The races of Blackwood are wary of the Tree Crawlers, as they are difficult to spot and can be deadly.",results/Blackwood/000007.png
['creatures'],"The Bog Dwellers: a group of amphibious creatures that live in the swamps and bogs of Blackwood. They are highly territorial and will attack any intruders. The races of Blackwood avoid the Bog Dwellers, as they are too dangerous to confront.",results/Blackwood/000008.png
['creatures'],"The Shadow Hounds: a pack of large, black dogs with glowing red eyes. They hunt in the darkness and are known to attack human settlements. The races of Blackwood avoid the Shadow Hounds, as they are too dangerous to confront.",results/Blackwood/000009.png
['creatures'],"The Blood Drainers: a group of small, bat-like creatures that feed on the blood of humans and animals. They are highly dangerous and can spread disease. The races of Blackwood avoid the Blood Drainers, as they are too dangerous to confront.",results/Blackwood/000010.png
['landmarks'],"The Whispering Caverns: a vast network of underground caves filled with eerie whispers and echoes. The Pale Ones consider the caves to be sacred, and use them as a place of meditation and reflection.",results/Blackwood/000011.png
['landmarks'],"The Obsidian Tower: a towering spire of black glass that rises up from the heart of the forest. The Stoneborn believe that the tower was once a temple to their gods, and often gather at its base to pay homage.",results/Blackwood/000012.png
['landmarks'],"The Crimson Valley: a blood-red valley that is said to be cursed. The Bloodkin believe that the valley is the site of a great battle between their ancestors and a powerful sorcerer, and avoid it at all costs.",results/Blackwood/000013.png
['landmarks'],"The Sky Cathedral: a towering structure made entirely of clouds, located high above the forest canopy. The Winged Ones believe that the cathedral was built by their gods as a place of worship, and often gather there to sing hymns and offer prayers.",results/Blackwood/000014.png
['landmarks'],"The Shadowed Keep: a dark fortress located deep in the heart of the forest. The Shadowkin believe that the keep was once a stronghold of their ancestors, and often use it as a place to train their young in the ways of shadow magic.",results/Blackwood/000015.png
"['cities', 'Darkwater: a small fishing village on the edge of a murky swamp. The majority of the population is human, though there are a few Pale Ones who live in the surrounding forest.', 'description']","Darkwater is a small fishing village situated on the edge of a murky swamp in Blackwood. It is a place steeped in history, with a culture and way of life that has remained largely unchanged for centuries.

The village was founded by a group of human settlers who were drawn to the rich waters of the swamp. They built their homes on stilts above the water, using the swamp as a natural defense against the supernatural creatures that haunt the world of Blackwood. Over time, the village grew, and a small community of humans formed.

Despite its isolation, Darkwater has a vibrant arts culture. The villagers are skilled weavers, and produce beautiful textiles from the reeds and rushes that grow in the swamp. They are also known for their intricate wood carvings, which depict scenes from their daily lives and the creatures that inhabit the forest.

The village has a strong sense of community, and the villagers rely on each other for survival. They share their resources and skills, and work together to defend the village against the supernatural creatures that lurk in the surrounding forest. The Pale Ones who live in the forest are generally peaceful, and the villagers have a tentative truce with them, though the two groups rarely interact.

One of the major events in Darkwater is the annual Swamp Festival. The festival celebrates the harvest of the swamp's bounty, and features music, dancing, and feasting. The villagers also hold a ceremony to honor the swamp, thanking it for its abundance and asking for its continued protection.

Life in Darkwater can be harsh and unforgiving, but the villagers take pride in their resilience and their ability to survive in the face of the dangers that surround them. They are a tight-knit community, bound together by their shared history and their determination to thrive in an unforgiving world.",results/Blackwood/000016.png
"['cities', 'Darkwater: a small fishing village on the edge of a murky swamp. The majority of the population is human, though there are a few Pale Ones who live in the surrounding forest.', 'lore']","The Great Flood: a catastrophic flood that swept through Darkwater, destroying many of the homes and leaving the villagers struggling to survive. Eirik the Wise used his knowledge of the swamp to lead the villagers to safety, while Kaida the Healer worked tirelessly to tend to the injured.",results/Blackwood/000017.png
"['cities', 'Darkwater: a small fishing village on the edge of a murky swamp. The majority of the population is human, though there are a few Pale Ones who live in the surrounding forest.', 'lore']","The Pale One Uprising: a tense period of unrest when the Pale Ones living in the forest began to demand greater recognition and rights. Kaela the Enchantress played a key role in negotiating a peaceful resolution, using her powers to create illusions that helped the villagers understand the Pale Ones' perspective.",results/Blackwood/000018.png
"['cities', 'Darkwater: a small fishing village on the edge of a murky swamp. The majority of the population is human, though there are a few Pale Ones who live in the surrounding forest.', 'lore']","The Curse of the Swamp Witch: a dark period in Darkwater's history when a powerful witch cursed the village, causing crops to fail and the villagers to fall ill. Kaida the Healer worked to find a cure, while Zara the Storyteller helped lift the villagers' spirits with tales of bravery and survival.",results/Blackwood/000019.png
"['cities', 'Darkwater: a small fishing village on the edge of a murky swamp. The majority of the population is human, though there are a few Pale Ones who live in the surrounding forest.', 'lore']","The Arrival of the Outsiders: when a group of outsiders arrived in Darkwater, seeking refuge from the dangers of the forest. Aria the Adventurer helped them navigate the treacherous terrain, while Thorne the Hunter provided them with food and protection.",results/Blackwood/000020.png
"['cities', 'Darkwater: a small fishing village on the edge of a murky swamp. The majority of the population is human, though there are a few Pale Ones who live in the surrounding forest.', 'lore']","The Swamp Festival Tragedy: a devastating accident that occurred during the Swamp Festival, when a fire broke out and destroyed many of the village's homes and businesses. Liara the Weaver used her skills to create new homes and textiles for the villagers, while Eirik the Wise worked to prevent future disasters by improving the village's safety measures.",results/Blackwood/000021.png
