key,prompt,f_save
['description'],"Solandria is a world recovering after the great sundering, a catastrophic event that shattered the world and plunged it into chaos. The world is now a patchwork of shattered continents, floating islands, and archipelagos surrounded by endless oceans. The people of Solandria are resilient and resourceful, and have adapted to their new world through the use of magic and technology.

Magic is a fundamental part of life in Solandria, and is used for everything from transportation to communication. The most powerful magic is wielded by the mage guilds, who use their abilities to shape the world around them and protect their people from the dangers that lurk in the shadows. However, magic is also dangerous and unpredictable, and those who wield it must be careful not to overreach their abilities.

Technology is also prevalent in Solandria, though it is often powered by magic rather than traditional sources such as coal or oil. Airships and steam engines are common, and the people of Solandria have also developed advanced weaponry such as firearms and explosives. However, technology is still relatively primitive compared to modern standards, and much of it is still in its infancy.

The culture of Solandria is diverse and varied, with different regions having their own unique customs and traditions. However, there are some common themes that run throughout the world. Honor and courage are highly valued, and many people are willing to risk everything to protect their families and communities. Art and literature are also highly prized, and many people in Solandria are skilled in music, painting, and other forms of creative expression.

Overall, Solandria is a world of magic, wonder, and danger. It is a place where anything is possible, and where the greatest heroes and villains can rise to power through their own ingenuity and strength of will.",results/Solandria/000000.png
['races'],The Hrafnir: a bird-like race with feathered wings and sharp talons. They are skilled hunters and often work as scouts and messengers. They have a natural affinity for flight and are often employed in airship technology.,results/Solandria/000001.png
['races'],The Ondine: a water-dwelling race with webbed hands and gills. They are skilled swimmers and often work as fishermen or shipbuilders. They have a natural affinity for water-based magic and often use it to power their technology.,results/Solandria/000002.png
['races'],The Kaelari: a reptilian race with scaly skin and sharp teeth. They are skilled warriors and often work as mercenaries or guards. They have a natural affinity for fire-based magic and often use it to power their technology.,results/Solandria/000003.png
['races'],"The Gatharim: a race of giants with immense strength and endurance. They are skilled laborers and often work as builders or miners. They are not particularly interested in technology, but they are known for their ability to move massive objects with ease.",results/Solandria/000004.png
['races'],"The Sylvan: a race of forest-dwelling creatures with a natural affinity for nature and wildlife. They are skilled hunters and gatherers and often work as herbalists or woodworkers. They are not particularly interested in technology, but they are known for their ability to communicate with animals and plants.",results/Solandria/000005.png
['races'],The Luminar: a race of beings made of pure light. They are skilled healers and often work as doctors or priests. They have a natural affinity for light-based magic and often use it to power their technology.,results/Solandria/000006.png
['creatures'],"The Shadowbeast: a stealthy predator that lurks in the shadows and preys on unsuspecting victims. They are known for their ability to blend into the darkness and strike from unexpected angles. They are a common threat to travelers and adventurers, and are hunted by many of the races of Solandria for their valuable hides and other materials.",results/Solandria/000007.png
['creatures'],"The Crystalcrawler: a small, insect-like creature that lives in crystal formations deep beneath the earth. They are prized for their ability to create and manipulate crystal structures, and are often used in the construction of magical devices and weapons. They are hunted by many of the races of Solandria for their valuable crystal cores.",results/Solandria/000008.png
['creatures'],"The Skywhale: a massive, whale-like creature that floats through the skies on massive gas bladders. They are often used as transportation by the Hrafnir and other races that specialize in airship technology. They are hunted by some of the more aggressive races of Solandria for their valuable bones and other materials.",results/Solandria/000009.png
['creatures'],"The Stormcaller: a massive, dragon-like creature that can summon and control storms. They are feared and respected by many of the races of Solandria, and are often considered to be the guardians of the skies. They are hunted by some of the more aggressive races of Solandria for their powerful scales and other materials.",results/Solandria/000010.png
['creatures'],"The Bloodthirster: a ferocious predator that feeds on the blood of its victims. They are feared by many of the races of Solandria, and are often hunted by skilled warriors and monster-slayers. They are known to be particularly vulnerable to silver weapons and other magical attacks.",results/Solandria/000011.png
['creatures'],"The Dreamweaver: a mysterious creature that can manipulate dreams and nightmares. They are often associated with magic and the arcane, and are sometimes considered to be the messengers of the gods. They are rarely hunted, but are sometimes sought out by those seeking guidance or answers from the beyond.",results/Solandria/000012.png
['landmarks'],"The Jotun's Forge: an ancient forge hidden deep in the mountains, where the Gatharim believe the gods first created the world. The forge has been abandoned for centuries, but the Gatharim still make pilgrimages to it, hoping to learn the secrets of the gods.",results/Solandria/000013.png
['landmarks'],"The Sunken City: a once-great city that was swallowed by the sea during the great sundering. The Ondine believe that the city was home to a powerful water spirit, and they often visit the ruins to pay homage to it.",results/Solandria/000014.png
['landmarks'],"The Tree of the Ancients: a massive tree that is said to be as old as the world itself. The Sylvan believe that the tree is home to the spirits of their ancestors, and they often leave offerings and prayers at its roots.",results/Solandria/000015.png
['landmarks'],"The Dragon's Hoard: a vast treasure trove that is said to be guarded by a powerful dragon. The Kaelari believe that the dragon was once a great hero who sacrificed himself to save the world, and they often leave offerings at the entrance to the hoard in his honor.",results/Solandria/000016.png
['landmarks'],"The Sky Fortress: a floating fortress that was built by an ancient civilization that has long since vanished. The Hrafnir believe that the fortress is home to powerful artifacts that can grant immense power to those who possess them, and they often attempt to explore the fortress despite its dangers.",results/Solandria/000017.png
['landmarks'],"The Temple of Light: a temple that is said to have been built by the Luminar themselves. The temple is said to contain vast amounts of knowledge and wisdom, and the Luminar guard it fiercely to prevent it from falling into the wrong hands. The other races view the temple with awe and reverence, but they are also wary of the Luminar's power and influence.",results/Solandria/000018.png
"['cities', 'Valtoria: a major city built into the side of a mountain, inhabited mostly by Kaelari and Gatharim. It is known for its impressive forges and weapon makers.', 'description']","Valtoria is a major city located in the heart of the mountain range that runs through the center of Solandria. It is built into the side of a massive peak, with narrow streets winding up the steep slope of the mountain. The city is home to a large population of Kaelari and Gatharim, who are known for their impressive forges and weapon makers.

The history of Valtoria dates back to the early days of Solandria, when the Kaelari and Gatharim first came together to form an alliance. They chose the mountain as their home because of its natural resources and strategic location. Over the centuries, Valtoria has grown into a thriving metropolis, attracting craftsmen and traders from across the world.

The arts and culture of Valtoria are centered around the craft of metalworking. The city is known for its fine weapons and armor, which are produced by skilled artisans using the most advanced techniques available. The Kaelari and Gatharim take great pride in their work, and their creations are sought after by warriors and adventurers throughout Solandria.

One of the major events in Valtoria is the annual Forge Festival, which takes place in the heart of the city. During the festival, the streets are filled with the sounds of hammers and bellows, as the city's craftsmen compete to create the most impressive weapons and armor. The festival also features music, food, and games, and is a major attraction for visitors from across the world.

Despite its reputation as a city of warriors and craftsmen, Valtoria is also home to a thriving artistic community. The city's museums and galleries showcase the finest works of sculpture, painting, and other forms of creative expression. Many of the city's artists draw inspiration from the rugged beauty of the mountain landscape that surrounds them.

In conclusion, Valtoria is a city with a rich history and culture, built on the traditions of the Kaelari and Gatharim. Its forges and weapon makers are renowned throughout Solandria, but the city is also a center of artistic and cultural innovation. The people of Valtoria take great pride in their work, and their city is a testament to the enduring spirit of creativity and ingenuity that defines Solandria.",results/Solandria/000019.png
"['cities', 'Valtoria: a major city built into the side of a mountain, inhabited mostly by Kaelari and Gatharim. It is known for its impressive forges and weapon makers.', 'lore']","The War of the Blacksmiths: a long and bloody conflict that erupted between the rival forges of Valtoria. Kael, the city's greatest weapon maker, led one faction, while Ragnar, the city's most talented armor crafter, led the other. The conflict lasted for years and resulted in many deaths and much destruction. In the end, it was Lyra, the Kaelari bard, who was able to broker a peace between the two sides.",results/Solandria/000020.png
"['cities', 'Valtoria: a major city built into the side of a mountain, inhabited mostly by Kaelari and Gatharim. It is known for its impressive forges and weapon makers.', 'lore']","The Siege of Valtoria: an invasion by a neighboring kingdom that sought to capture the city's forges and weapons. Gorn, the Gatharim captain of the city guard, led the defense of Valtoria, and was able to repel the invaders after a long and grueling battle. Tragically, many of the city's residents lost their lives in the conflict, including Thorne, the Kaelari inventor, who was killed while trying to use one of his experimental weapons.",results/Solandria/000021.png
"['cities', 'Valtoria: a major city built into the side of a mountain, inhabited mostly by Kaelari and Gatharim. It is known for its impressive forges and weapon makers.', 'lore']","The Great Fire of Valtoria: a devastating blaze that swept through the city, destroying many of its finest forges and workshops. Sylph, the Kaelari mage, was able to use her powers to contain the flames and prevent them from spreading further. However, the fire still caused significant damage and forced many of the city's residents to rebuild their lives from scratch.",results/Solandria/000022.png
"['cities', 'Valtoria: a major city built into the side of a mountain, inhabited mostly by Kaelari and Gatharim. It is known for its impressive forges and weapon makers.', 'lore']","The Coronation of Astra: a momentous occasion in which the Kaelari diplomat was crowned as the new queen of Valtoria. The ceremony was attended by many of Solandria's most powerful leaders, including Eira, the Kaelari archer, and Grimgar, the Gatharim miner. Astra used her position to strengthen Valtoria's alliances and expand its influence throughout the world.",results/Solandria/000023.png
"['cities', 'Valtoria: a major city built into the side of a mountain, inhabited mostly by Kaelari and Gatharim. It is known for its impressive forges and weapon makers.', 'lore']","The Trial of Krag: a controversial legal dispute that arose when the Gatharim brewer was accused of selling tainted ale to his customers. The case was highly publicized and attracted a lot of attention from across Solandria. In the end, Krag was able to prove his innocence and clear his name, thanks in part to the testimony of Lyra, who had tasted his ale and found it to be of the highest quality.",results/Solandria/000024.png
