key,prompt,f_save,is_closeup,negative_prompt,style_prompt
['world_description'],"Fyremere is a planet that is predominantly covered in forests, mountains, and seas. The atmosphere is rich in oxygen, and the climate is temperate. The planet is home to a vast array of flora and fauna, some of which are unique to Fyremere.

The refugees from the other planet have brought with them advanced technology, including faster-than-light travel, advanced medical treatments, and sophisticated energy systems. However, their technology is primarily geared towards survival, and they lack the resources to build massive structures or infrastructure.

To supplement their technological advancements, the refugees have also developed a deep understanding of magic. They have mastered the art of manipulating the elements, healing, and divination. However, their knowledge of magic is still limited, and they are constantly researching and experimenting to unlock new abilities.

The culture of the refugees is heavily influenced by their experience of being uprooted from their home planet. They value community, cooperation, and resilience. They have developed a deep appreciation for nature and are committed to preserving the environment on Fyremere.

Overall, Fyremere is a world of contrasts, where advanced technology and ancient magic coexist, and where the resilience of the human spirit is put to the test in the face of ecological disaster.",results/images/Fyremere/000000.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['races'],"The Valtari: A race of tall, graceful beings with pointed ears and luminous skin. They have a deep connection to nature and are skilled in the art of plant-based magic. They are fascinated by the refugees' technology and often incorporate it into their own magical practices.",results/images/Fyremere/000001.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['races'],"The Krynn: A race of fierce warriors with tough, leathery skin and sharp claws. They are highly adaptable and have a natural affinity for engineering. They have quickly become essential to the refugee's technological advancements.",results/images/Fyremere/000002.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['races'],"The Nym: A race of small, nimble creatures with large, expressive eyes and prehensile tails. They are expert hunters and gatherers and have a unique ability to absorb and mimic the properties of the materials they touch. They have been instrumental in developing new energy sources for the refugees' technology.",results/images/Fyremere/000003.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['races'],"The Ossir: A race of wise, contemplative beings with elongated limbs and an ethereal aura. They possess a profound understanding of the universe and are skilled in the art of divination. They have helped the refugees navigate the strange new world of Fyremere and make sense of their place in it.",results/images/Fyremere/000004.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['races'],"The Drog: A race of hulking, brutish creatures with thick hides and massive strength. They are fiercely loyal and protective of their allies and have proven to be invaluable in defending the refugees from Fyremere's more dangerous predators.",results/images/Fyremere/000005.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['creatures'],"The Glint: A small, iridescent creature that flits through the forests of Fyremere. It is harmless and often admired by the Valtari for its beauty.",results/images/Fyremere/000006.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['creatures'],"The Shadowstalker: A sleek, nocturnal predator that hunts in the mountains. It is feared by all races of Fyremere, and the Drog have been known to go on hunting expeditions to eliminate them.",results/images/Fyremere/000007.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['creatures'],"The Rockspinner: A burrowing creature that lives in the hills and valleys of Fyremere. It is not aggressive, but its burrowing can destabilize the ground, leading to dangerous sinkholes. The Krynn have developed technology to track and redirect them away from vulnerable areas.",results/images/Fyremere/000008.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['creatures'],The Skywhisperer: A massive bird of prey that soars through the skies of Fyremere. It has a keen sense of sight and hearing and is often revered by the Ossir for its connection to the air element.,results/images/Fyremere/000009.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['creatures'],"The Frostbite: A creature that lives in the frozen wastes of Fyremere. It is a menace to all races, as its bite can cause severe frostbite and necrosis. The Nym have developed a serum to counteract its venom and are often called upon to treat those who have been bitten.",results/images/Fyremere/000010.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['creatures'],The Sunseeker: A reptilian creature that basks in the sun on the shores of Fyremere's oceans. It is not aggressive and is often hunted by the Drog for its meat and skin.,results/images/Fyremere/000011.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['creatures'],The Whirlpooler: A massive sea creature that creates whirlpools as it moves through the oceans of Fyremere. It is revered by the Valtari for its connection to the water element and is often depicted in their art and mythology.,results/images/Fyremere/000012.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['deities'],The Great Mother of the Forest: A benevolent deity who embodies the spirit of nature. She is said to have created the forests of Fyremere and watches over all the creatures that call them home. She is known to bless those who honor her with bountiful harvests and good health.,results/images/Fyremere/000013.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['deities'],The Lord of the Dark Waters: An ancient and malevolent deity who dwells in the depths of Fyremere's oceans. He is said to have the power to summon massive storms and unleash devastating tidal waves. His worshippers offer him sacrifices to appease his wrath and avoid his wrathful wrath.,results/images/Fyremere/000014.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['deities'],"The Weaver of Dreams: A mysterious deity who is said to have the power to manipulate the fabric of reality itself. Her worshippers seek her guidance in their dreams, hoping to receive glimpses of the future or insights into the workings of the universe.",results/images/Fyremere/000015.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['deities'],"The Watcher in the Shadows: A sinister deity who lurks in the shadows of Fyremere's forests and mountains. He is said to delight in causing fear and chaos among mortals, and his worshippers offer him sacrifices in exchange for his favor.",results/images/Fyremere/000016.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['deities'],The Lady of the Eternal Flame: A powerful deity who embodies the essence of fire. She is worshipped by those who harness the power of flames in their magic or technology. Her followers believe that she has the power to purify and transform all that she touches.,results/images/Fyremere/000017.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['deities'],The Keeper of the Secrets Beyond: An enigmatic deity who is said to possess knowledge of the universe's deepest mysteries. Her followers offer her sacrifices in exchange for glimpses of the truths that lie beyond mortal comprehension.,results/images/Fyremere/000018.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['deities'],"The Bringer of the Endless Night: A terrifying deity who is said to have the power to blot out the sun and shroud the world in darkness. His worshippers believe that he will bring about the end of the world, and that they will be saved by his wrath.",results/images/Fyremere/000019.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['landmarks'],"The Ruins of the Endless Night: A sprawling network of ruins that is said to have once been a great city. It is rumored that the Bringer of the Endless Night once dwelled here and that his followers still seek to summon him back to the mortal realm. The races of Fyremere avoid these ruins, believing them to be cursed and haunted by malevolent spirits.",results/images/Fyremere/000020.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['landmarks'],"The Shrine of the Weaver: A small, secluded shrine nestled deep in the forest. It is said that the Weaver of Dreams occasionally appears here to offer guidance to her followers. The Valtari often make pilgrimages to this shrine to seek her wisdom and blessings.",results/images/Fyremere/000021.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['landmarks'],"The Caverns of the Watcher: A labyrinthine network of underground caverns that is said to be filled with traps and ancient treasures. The Watcher in the Shadows is said to have once made his home here, and his followers still come to pay homage to him. The Krynn are known to occasionally explore these caves in search of rare minerals and artifacts.",results/images/Fyremere/000022.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
['landmarks'],"The Temple of the Great Mother: A massive, ancient temple that is dedicated to the Great Mother of the Forest. It is said to have been built by her earliest followers and is still tended by her most devout worshippers. The Nym are known to make offerings at this temple to honor their connection to nature.",results/images/Fyremere/000023.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","scifi, futuristic, illustration, dark, cinematic, detailed, atmospheric, 8k, by feng zhu, concept art"
