key,prompt,f_save,is_closeup,negative_prompt,style_prompt
['world_description'],"Sapphira is a world where magic and mysticism are as commonplace as the air people breathe. The world is populated by bellydancing Amazonian queens who practice polyamory and worship Athena, the goddess of wisdom, courage, and justice. The society is matriarchal and the women are the leaders. They value intelligence, creativity, and compassion above all else.

The technology in Sapphira is preindustrial, with most people living in small, close-knit communities. The people use hand tools and simple machines to farm the land and craft their goods. They also have access to basic medical knowledge and herbal remedies to treat illnesses.

Magic is an integral part of life in Sapphira. The women of the temple are trained in the art of magic and use it to heal the sick, protect their people, and communicate with the gods. They are also able to use magic to enhance their dancing and create breathtaking performances.

The culture in Sapphira is one of love, respect, and equality. The women are free to love who they choose and are adored by men who appreciate them for their whole person. Polyamory is accepted and even encouraged, as it allows for deeper connections and greater emotional fulfillment.

Outside the temple, the other cities are falling to the encroaching barbarian hordes governed by the patriarchal system. The women of Sapphira are determined to resist this oppressive system and create a more just society. They are fierce warriors and skilled strategists, and will do whatever it takes to protect their people and preserve their way of life.

Overall, Sapphira is a world of beauty, magic, and love, but also one of struggle and conflict as the matriarchal society clashes with the patriarchal invaders. It is a world where the power of love and the strength of women are the keys to survival.",results/images/Sapphira/000000.png,False,"easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","Illustration by Zindy S. D. Nielsen. Light on colors, beautiful. High quality, detailed, concept art"
['races'],The Luminari: A race of ethereal beings who are able to manipulate light and energy. They are highly skilled in magic and often serve as advisors to the Amazonian queens. They have a deep respect for nature and often use technology to enhance their connection to it.,results/images/Sapphira/000001.png,True,"easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Illustration by Zindy S. D. Nielsen. Light on colors, beautiful. High quality, detailed, concept art"
['races'],"The Dromites: A diminutive race of insectoid creatures who are known for their incredible intelligence and technological prowess. They are experts in building complex machines and devices, and often work as engineers and artisans in Sapphira. They have a fascination with clockwork and steam power.",results/images/Sapphira/000002.png,True,"easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Illustration by Zindy S. D. Nielsen. Light on colors, beautiful. High quality, detailed, concept art"
['races'],"The Fae: A playful and mischievous race of beings who are closely connected to the natural world. They have a deep understanding of plants and animals, and often use magic to communicate with them. They are skilled in illusion and enchantment magic, and often use it to create beautiful works of art.",results/images/Sapphira/000003.png,True,"easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Illustration by Zindy S. D. Nielsen. Light on colors, beautiful. High quality, detailed, concept art"
['races'],"The Khepri: A race of humanoid creatures with the bodies of beetles. They are known for their incredible strength and endurance, and often serve as warriors and guards in Sapphira. They have a deep appreciation for traditional weapons and armor, and often craft them by hand.",results/images/Sapphira/000004.png,True,"easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Illustration by Zindy S. D. Nielsen. Light on colors, beautiful. High quality, detailed, concept art"
['races'],The Sylphs: A race of winged beings who are closely connected to the air and sky. They are skilled in weather magic and often use it to control the elements. They have a love of flight and often use technology to enhance their ability to soar through the air.,results/images/Sapphira/000005.png,True,"easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Illustration by Zindy S. D. Nielsen. Light on colors, beautiful. High quality, detailed, concept art"
['creatures'],"Glowing Mushrooms: A type of mushroom that emits a soft, bioluminescent glow. They are often used by the Luminari as a source of light and energy.",results/images/Sapphira/000006.png,True,"easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Illustration by Zindy S. D. Nielsen. Light on colors, beautiful. High quality, detailed, concept art"
['creatures'],"Skyfish: A small, winged creature that resembles a cross between a bird and a fish. They are often kept as pets by the Sylphs and used in aerial performances.",results/images/Sapphira/000007.png,True,"easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Illustration by Zindy S. D. Nielsen. Light on colors, beautiful. High quality, detailed, concept art"
['creatures'],"Shadow Wraiths: Mysterious beings that dwell in the shadows. They are feared by many, but are also revered by some as powerful guardians of secret knowledge.",results/images/Sapphira/000008.png,True,"easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Illustration by Zindy S. D. Nielsen. Light on colors, beautiful. High quality, detailed, concept art"
['creatures'],"Fire Salamanders: A type of lizard that is able to withstand incredibly high temperatures. They are often hunted by the Khepri for their tough, flame-resistant hides.",results/images/Sapphira/000009.png,True,"easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Illustration by Zindy S. D. Nielsen. Light on colors, beautiful. High quality, detailed, concept art"
['creatures'],"Night Hounds: A pack of fierce, wolf-like creatures that roam the forests of Sapphira. They are often hunted by the Amazonian queens for their meat and fur.",results/images/Sapphira/000010.png,True,"easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Illustration by Zindy S. D. Nielsen. Light on colors, beautiful. High quality, detailed, concept art"
['creatures'],"Crystal Beetles: A type of beetle that is able to create intricate, crystalline structures. They are often used by the Dromites in their machines and devices.",results/images/Sapphira/000011.png,True,"easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Illustration by Zindy S. D. Nielsen. Light on colors, beautiful. High quality, detailed, concept art"
['creatures'],"Sea Serpents: Giant, aquatic creatures that are revered by the Fae as protectors of the oceans. They are often depicted in Fae artwork and stories.",results/images/Sapphira/000012.png,True,"easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Illustration by Zindy S. D. Nielsen. Light on colors, beautiful. High quality, detailed, concept art"
['creatures'],Thunderbirds: A type of bird that is able to summon lightning and thunder. They are often used by the Sylphs in their aerial performances and as messengers.,results/images/Sapphira/000013.png,True,"easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Illustration by Zindy S. D. Nielsen. Light on colors, beautiful. High quality, detailed, concept art"
['deities'],"The Great Mother of the Earth: A powerful goddess who is deeply connected to the natural world. She is known for her ability to create and destroy, and is both feared and respected by the people of Sapphira. She is said to be responsible for the creation of all life on the planet, and is known to intervene in times of great crisis.",results/images/Sapphira/000014.png,False,"easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","Illustration by Zindy S. D. Nielsen. Light on colors, beautiful. High quality, detailed, concept art"
['deities'],"The Celestial Weaver: A mysterious deity who is said to control the threads of fate. She weaves the destinies of all living beings, and is known to intervene in times of great upheaval. Her power is said to be both great and terrible, and those who cross her are said to suffer greatly.",results/images/Sapphira/000015.png,False,"easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","Illustration by Zindy S. D. Nielsen. Light on colors, beautiful. High quality, detailed, concept art"
['deities'],"The Keeper of Secrets: A shadowy figure who is known to possess great knowledge and power. Her true motives are unknown, and she is said to be able to see into the hearts and minds of all living beings. She is both feared and revered by the people of Sapphira, and is often invoked in times of great need.",results/images/Sapphira/000016.png,False,"easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","Illustration by Zindy S. D. Nielsen. Light on colors, beautiful. High quality, detailed, concept art"
['deities'],"The Star-Maker: A deity who is said to have created the stars and the heavens. She is known for her ability to manipulate the cosmos, and is often invoked by astronomers and astrologers. Her true motives are unknown, but she is said to be both benevolent and fickle.",results/images/Sapphira/000017.png,False,"easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","Illustration by Zindy S. D. Nielsen. Light on colors, beautiful. High quality, detailed, concept art"
['deities'],"The River-Maiden: A goddess who is deeply connected to the waters of Sapphira. She is known for her ability to control the tides and currents, and is often invoked by sailors and fishermen. She is said to have a mercurial personality, and those who cross her are said to suffer from her wrath.",results/images/Sapphira/000018.png,False,"easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","Illustration by Zindy S. D. Nielsen. Light on colors, beautiful. High quality, detailed, concept art"
