key,prompt,f_save,is_closeup,negative_prompt,style_prompt
['world_description'],"Solandria is a high fantasy world that is still recovering after the great sundering that occurred centuries ago. The world is vast and diverse, with many different cultures and civilizations existing alongside one another.

In terms of technology, Solandria is still largely in a medieval period, with most people relying on swords, bows, and other traditional weapons. However, there are some advanced technologies that exist, particularly in the more advanced civilizations. These include things like steam power and clockwork machinery, which are used for transportation and manufacturing.

Magic is also a major part of life in Solandria, with many people possessing the ability to wield it. There are a wide variety of magical disciplines, including elemental magic, divination, and summoning, among others. Magic is often used for defense and offense, as well as for practical purposes like healing and transportation.

In terms of culture, Solandria is incredibly diverse. There are many different races and ethnicities present, each with their own unique traditions and beliefs. There are also many different religions and belief systems, ranging from monotheistic to polytheistic.

Overall, Solandria is a complex and fascinating world, full of magic, technology, and culture. As the world continues to recover from the great sundering, it is sure to be shaped by the actions of its many inhabitants.",results/images/Solandria/000000.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","Antoine Blanchard, (masterpiece:1.1), (best quality:1.1), dreamlikeart, absurdres, highres, photorealistic, real, contrast lighting, by Anders Zorn"
['races'],"The Aelvari: A tall and elegant race of beings with pointed ears and a natural affinity for magic. They are often skilled artisans and craftsmen, and their advanced knowledge of magic allows them to imbue their creations with powerful enchantments.",results/images/Solandria/000001.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Antoine Blanchard, (masterpiece:1.1), (best quality:1.1), dreamlikeart, absurdres, highres, photorealistic, real, contrast lighting, by Anders Zorn"
['races'],"The Drogath: A fierce and intimidating race of beings with tough, scaly skin and razor-sharp teeth. They are highly skilled warriors and often make use of advanced weaponry and armor. However, they have little interest in magic and prefer to rely on their own physical prowess.",results/images/Solandria/000002.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Antoine Blanchard, (masterpiece:1.1), (best quality:1.1), dreamlikeart, absurdres, highres, photorealistic, real, contrast lighting, by Anders Zorn"
['races'],"The Quilith: A small and nimble race of beings with large, expressive eyes and delicate features. They are highly intelligent and have a natural aptitude for technology, often creating complex machines and gadgets. However, they are not particularly skilled in combat and often rely on their wits to survive.",results/images/Solandria/000003.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Antoine Blanchard, (masterpiece:1.1), (best quality:1.1), dreamlikeart, absurdres, highres, photorealistic, real, contrast lighting, by Anders Zorn"
['races'],"The Gorgoth: A massive and powerful race of beings with thick, muscular bodies and tough, leathery skin. They are highly skilled in combat and often make use of primitive weapons like clubs and spears. However, they have little interest in technology or magic, preferring to live off the land and hunt for their food.",results/images/Solandria/000004.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Antoine Blanchard, (masterpiece:1.1), (best quality:1.1), dreamlikeart, absurdres, highres, photorealistic, real, contrast lighting, by Anders Zorn"
['races'],"The Nyrathi: A mysterious and elusive race of beings with pale skin and glowing eyes. They are highly attuned to magic and often possess advanced knowledge of arcane lore. However, they are not particularly interested in technology or material wealth, preferring to focus on their studies and meditation.",results/images/Solandria/000005.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Antoine Blanchard, (masterpiece:1.1), (best quality:1.1), dreamlikeart, absurdres, highres, photorealistic, real, contrast lighting, by Anders Zorn"
['creatures'],"Shadow Stalkers: These are creatures that lurk in the shadows and prey on unsuspecting travelers. They have long, razor-sharp claws and are able to move quickly and silently. They are feared by many of the races of Solandria, and are often hunted by those who seek to rid the world of their menace.",results/images/Solandria/000006.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Antoine Blanchard, (masterpiece:1.1), (best quality:1.1), dreamlikeart, absurdres, highres, photorealistic, real, contrast lighting, by Anders Zorn"
['creatures'],"Sky Serpents: These are massive creatures that soar through the skies and have long, sinuous bodies and sharp talons. They are often revered by the Aelvari, who believe that they are messengers of the gods. The Quilith also study them closely, hoping to learn more about their biology and behavior.",results/images/Solandria/000007.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Antoine Blanchard, (masterpiece:1.1), (best quality:1.1), dreamlikeart, absurdres, highres, photorealistic, real, contrast lighting, by Anders Zorn"
['creatures'],"Flame Drakes: These are fierce creatures that breathe fire and are covered in tough, scaly armor. They are often hunted by the Drogath, who prize their hides for use in armor and weapons. The Nyrathi also study them closely, hoping to learn more about their magical abilities.",results/images/Solandria/000008.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Antoine Blanchard, (masterpiece:1.1), (best quality:1.1), dreamlikeart, absurdres, highres, photorealistic, real, contrast lighting, by Anders Zorn"
['creatures'],"Ice Wyrms: These are massive creatures that live in the frozen wastes of Solandria. They have thick, white fur and are able to freeze their enemies with their icy breath. They are feared by many of the races of Solandria, and are often hunted by the Gorgoth for their meat and fur.",results/images/Solandria/000009.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Antoine Blanchard, (masterpiece:1.1), (best quality:1.1), dreamlikeart, absurdres, highres, photorealistic, real, contrast lighting, by Anders Zorn"
['creatures'],"Crystal Spiders: These are creatures that live deep underground and are able to spin webs of pure crystal. They are often studied by the Quilith, who hope to learn more about their unique abilities. The Aelvari also use their webs in their enchantments, believing that they possess powerful magical properties.",results/images/Solandria/000010.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, Antoine Blanchard, (masterpiece:1.1), (best quality:1.1), dreamlikeart, absurdres, highres, photorealistic, real, contrast lighting, by Anders Zorn"
['deities'],"Aethereon, the Weaver of Fate: A deity of destiny and prophecy, who is said to have the power to shape the future of the world. Aethereon is believed to be a neutral deity, who does not take sides in the conflicts of mortals, but instead seeks to ensure that the balance of the universe is maintained.",results/images/Solandria/000011.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","Antoine Blanchard, (masterpiece:1.1), (best quality:1.1), dreamlikeart, absurdres, highres, photorealistic, real, contrast lighting, by Anders Zorn"
['deities'],"Erebos, the Lord of Shadows: A dark and mysterious deity, who is associated with secrets, deceit, and the unknown. Erebos is believed to be an evil deity, who delights in causing chaos and destruction in the mortal world. However, some believe that he may have a deeper purpose, and that his true motives are not yet known.",results/images/Solandria/000012.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","Antoine Blanchard, (masterpiece:1.1), (best quality:1.1), dreamlikeart, absurdres, highres, photorealistic, real, contrast lighting, by Anders Zorn"
['deities'],"Lythara, the Lady of the Harvest: A benevolent deity, who is associated with agriculture, fertility, and abundance. Lythara is said to bless the crops of the faithful, and to bring prosperity and good fortune to those who honor her. However, she is also known to be a strict deity, who demands that her followers adhere to strict codes of conduct and morality.",results/images/Solandria/000013.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","Antoine Blanchard, (masterpiece:1.1), (best quality:1.1), dreamlikeart, absurdres, highres, photorealistic, real, contrast lighting, by Anders Zorn"
